method,k,avg_recall@10,p50_latency,p95_latency,p99_latency,mean_latency,n_queries,avg_recall@20,avg_recall@50
Oracle,10,1.0,36.582403525244445,151.34707290562798,192.68977450206864,59.127650268608704,500,,
Oracle,20,,36.19915951276198,144.9295697617344,158.62055198522285,58.08140793722123,500,1.0,
Oracle,50,,35.658584034536034,146.1992314259987,164.8360401915851,58.21908607473597,500,,1.0
PreFilter,10,1.0,36.3259845180437,141.93157275440169,162.0306477206759,57.289508782560006,500,,
PreFilter,20,,36.28477652091533,141.85907175997272,179.02464430662798,57.50771878613159,500,1.0,
PreFilter,50,,36.717236042022705,144.54932597582228,210.40672710514627,58.68588504497893,500,,1.0
PostFilter,10,0.32480000000000003,7.666866993531585,18.773827422410235,26.874953270889804,9.188077036989853,500,,
PostFilter,20,,7.721499016042799,19.988843606552106,34.85404901555739,9.361839885590598,500,0.352,
PostFilter,50,,8.293244522064924,22.849141061305996,31.45623400690963,10.33251308486797,500,,0.37520000000000003
HybridSearch,10,0.22760000000000002,42.64907952165231,73.03270733682437,85.09485062444581,43.62403580755927,500,,
HybridSearch,20,,43.08359057176858,73.51988950395022,83.67616906296462,43.89293222920969,500,0.24230000000000002,
HybridSearch,50,,44.168779510073364,72.83936264575456,89.57339138374661,43.95297019230202,500,,0.25616
