method,k,avg_recall@10,p50_latency,p95_latency,p99_latency,mean_latency,n_queries,avg_recall@20,avg_recall@50,selectivity_bin
Oracle,10,1.0,13.285257038660347,27.001324971206486,41.79265756392854,14.89618563436217,167,,,0.01-0.05
Oracle,20,,13.802300905808806,25.804553052876138,31.284559858031578,14.859902176833126,167,1.0,,0.01-0.05
Oracle,50,,13.501426088623703,28.91630603699013,34.77039005840197,14.927767976995803,167,,1.0,0.01-0.05
PreFilter,10,1.0,12.478535994887352,23.37082577869296,34.494031623471535,13.808770832315668,167,,,0.01-0.05
PreFilter,20,,12.808977044187486,24.869565421249707,33.9143837732263,13.795905718635655,167,1.0,,0.01-0.05
PreFilter,50,,12.803958961740136,23.980992485303425,30.47218166990207,13.752837891935812,167,,1.0,0.01-0.05
PostFilter,10,0.3473053892215569,15.422941069118679,28.008086769841608,35.39481135550888,16.97404292400949,167,,,0.01-0.05
PostFilter,20,,17.063617007806897,30.944826896302395,35.7186218025163,17.980352767692978,167,0.3856287425149701,,0.01-0.05
PostFilter,50,,18.607705947943032,33.41325061628595,40.65923052839936,20.197212202530242,167,,0.41976047904191616,0.01-0.05
HybridSearch,10,0.10179640718562874,52.71753098350018,72.81363550573587,83.63460337510335,57.36362164656068,167,,,0.01-0.05
HybridSearch,20,,54.34147908817977,80.2577517577447,86.13527873065324,58.84747031287006,167,0.107185628742515,,0.01-0.05
HybridSearch,50,,54.21807197853923,78.37190694408491,88.09850785881281,58.6072760418024,167,,0.11449101796407184,0.01-0.05
Oracle,10,1.0,33.551231026649475,61.72612144146114,84.8181935143657,37.6324043567376,167,,,0.05-0.15
Oracle,20,,33.811774919740856,65.56203049840403,92.1279318700545,37.83064282396083,167,1.0,,0.05-0.15
Oracle,50,,33.44296000432223,62.75987531989812,70.61476084170863,37.26449507584204,167,,1.0,0.05-0.15
PreFilter,10,1.0,32.17608202248812,62.13435815880072,73.2524987170473,35.43096703399129,167,,,0.05-0.15
PreFilter,20,,31.57423494849354,61.13129359437152,64.0667274175212,34.93697162366244,167,1.0,,0.05-0.15
PreFilter,50,,31.064811046235263,64.31915862485766,70.4962021438405,35.27454156456459,167,,1.0,0.05-0.15
PostFilter,10,0.3257485029940119,6.854011910036206,9.332645696122198,16.187140494585044,7.392320220782505,167,,,0.05-0.15
PostFilter,20,,7.011838955804706,11.874920269474384,14.163503516465429,7.58847293324077,167,0.35928143712574845,,0.05-0.15
PostFilter,50,,7.218965096399188,12.345756578724831,15.939383814111356,8.004560790576798,167,,0.3792814371257486,0.05-0.15
HybridSearch,10,0.2796407185628742,37.15903393458575,56.22497645672409,74.08763935323805,39.742605537622275,167,,,0.05-0.15
HybridSearch,20,,37.10082301404327,62.67951031913979,71.11871883971618,40.49161328616257,167,0.3086826347305389,,0.05-0.15
HybridSearch,50,,38.688394939526916,59.82074638595803,65.98071080166847,40.53295079429082,167,,0.32778443113772454,0.05-0.15
Oracle,10,1.0,99.70952349249274,127.3053647368215,145.03627079771832,97.28831840992167,58,,,0.15-0.3
Oracle,20,,97.87135850638151,126.90512188710272,167.89715175167657,98.01781580960056,58,1.0,,0.15-0.3
Oracle,50,,100.75244453037158,127.39827153855003,133.29158485517837,97.17575334020538,58,,1.0,0.15-0.3
PreFilter,10,1.0,101.32173949386925,131.21958565898237,154.65141292195767,101.69831877534182,58,,,0.15-0.3
PreFilter,20,,100.8142459904775,134.0687648335006,157.76543128537014,99.94767858157063,58,1.0,,0.15-0.3
